,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
31,WHL,100577/richard-nejezchleb,F,2015,21.369444,49,20,31,51,1.040816,3,3,150,0,1,DY+3,L,Yes,0.0,0,0
53,QMJHL,100867/jan-kostalek,D,2015,20.577778,57,7,36,43,0.754386,3,3,160,0,1,DY+2,R,Yes,0.0,0,0
81,OHL,101221/dominik-kubalik,F,2014,19.066667000000002,59,18,11,29,0.491525,2,2,126,0,0,DY+1,L,Yes,0.0,0,0
86,WHL,10123/denis-rehak,D,2004,19.336111,25,0,3,3,0.12,1,1,25,1,0,DY+1,L,Yes,0.0,0,0
100,USHL,101430/nathan-walker,F,2013,19.605556,29,7,20,27,0.931034,1,1,29,1,0,DY+1,L,Yes,0.166667,12,1
101,QMJHL,1015/johnny-oduya,D,2001,19.955556,68,14,54,68,1.0,1,1,68,1,0,DY+1,L,Yes,0.223529,850,1
104,OHL,10157/jordan-staal,F,2006,18.013889000000002,68,28,40,68,1.0,2,2,134,0,0,DY,L,Yes,0.571109,893,1
111,OHL,10158/jared-staal,F,2010,20.066667000000002,59,12,37,49,0.830508,4,4,249,0,1,DY+2,R,Yes,0.0,2,1
120,WHL,101581/shea-theodore,D,2015,20.116667,43,13,35,48,1.116279,4,4,253,0,1,DY+2,L,Yes,0.43005200000000005,193,1
129,WHL,101590/jackson-houck,F,2016,21.619444,56,20,33,53,0.9464290000000001,5,5,312,0,1,DY+3,R,Yes,0.0,0,0
163,WHL,101642/tanner-faith,D,2016,20.944444,59,3,21,24,0.40678000000000003,3,2,133,0,0,DY+2,R,Yes,0.0,0,0
192,USHL,10196/adam-burish,F,2002,19.691667000000002,61,24,33,57,0.934426,1,1,61,1,0,DY+1,R,Yes,0.15872999999999998,378,1
194,USHL,101962/andrew-copp,F,2012,18.186111,18,3,7,10,0.555556,2,0,40,0,0,DY,L,Yes,0.28668899999999997,293,1
199,WHL,10197/matt-keith,F,2003,20.427778,56,27,28,55,0.982143,4,4,196,0,1,DY+2,R,Yes,0.185185,27,1
202,WHL,10200/d.j.-king,F,2004,20.216667,63,13,17,30,0.47618999999999995,3,3,183,0,1,DY+2,L,Yes,0.09322000000000001,118,1
232,OHL,10211/brad-richardson,F,2005,20.613889,68,41,56,97,1.4264709999999998,4,3,208,0,1,DY+2,L,Yes,0.308411,749,1
234,USHL,10212/paul-stastny,F,2004,18.716667,56,30,47,77,1.375,2,2,113,0,0,DY,L,Yes,0.787185,874,1
237,QMJHL,10218/marc-edouard-vlasic,D,2006,19.458333,66,16,57,73,1.106061,3,3,177,0,1,DY+1,L,Yes,0.32228,965,1
239,QMJHL,10219/tomas-malec,D,2002,20.338889,51,14,32,46,0.901961,2,2,115,0,0,DY+2,L,Yes,0.043477999999999996,46,1
242,OHL,10221/nikita-alexeyev,F,2001,19.716667,64,31,41,72,1.125,3,3,189,0,1,DY+1,L,Yes,0.237179,156,1
253,QMJHL,10226/bruno-gervais,D,2004,19.95,23,4,6,10,0.434783,3,3,160,0,1,DY+1,R,Yes,0.208134,418,1
258,OHL,10228/shane-o-brien,D,2003,20.1,62,16,26,42,0.677419,3,3,190,0,1,DY+2,L,Yes,0.171322,537,1
272,QMJHL,10233/aaron-johnson,D,2003,20.375,57,10,51,61,1.070175,4,4,250,0,1,DY+2,L,Yes,0.213058,291,1
275,WHL,10235/gilbert-brule,F,2006,19.705556,27,23,15,38,1.407407,3,3,164,0,1,DY+1,R,Yes,0.317726,299,1
278,WHL,102378/ben-betker,D,2015,20.975,64,6,25,31,0.484375,3,3,200,0,1,DY+2,L,Yes,0.0,0,0
295,QMJHL,10247/keith-yandle,D,2006,20.016667,66,25,59,84,1.272727,1,1,66,1,0,DY+2,L,Yes,0.5821390000000001,907,1
309,USHL,10260/brandon-bochenski,F,2001,19.447222,55,47,33,80,1.454545,1,1,55,1,0,DY+1,R,Yes,0.43589700000000003,156,1
313,WHL,10261/nate-thompson,F,2005,20.944444,58,19,15,34,0.5862069999999999,4,4,253,0,1,DY+2,L,Yes,0.202296,697,1
330,OHL,10294/patrick-davis,F,2006,19.713889,60,35,33,68,1.133333,4,3,162,0,1,DY+1,R,Yes,0.11111099999999999,9,1
336,WHL,10298/david-bararuk,F,2003,20.302778,66,29,64,93,1.409091,4,4,212,0,1,DY+2,L,Yes,0.0,0,0
345,OHL,10302/matt-lashoff,D,2006,19.961111,56,7,40,47,0.8392860000000001,3,3,162,0,1,DY+1,L,Yes,0.216216,74,1
350,WHL,10303/triston-grant,F,2005,21.619444,70,20,12,32,0.457143,5,5,291,0,1,DY+3,L,Yes,0.090909,11,1
359,OHL,10313/justin-papineau,F,2000,20.666667,60,40,36,76,1.266667,4,4,244,0,1,DY+2,L,Yes,0.23456799999999997,81,1
362,OHL,10314/corey-locke,F,2004,20.352778,65,51,67,118,1.8153849999999998,3,3,186,0,1,DY+2,L,Yes,0.11111099999999999,9,1
367,QMJHL,10315/simon-gamache,F,2001,20.7,72,74,110,184,2.555556,3,3,214,0,1,DY+2,L,Yes,0.270833,48,1
370,WHL,10320/steven-goertzen,F,2004,20.302778,69,15,18,33,0.478261,3,3,206,0,1,DY+2,R,Yes,0.058824,68,1
374,USHL,10322/tim-jackman,F,2000,18.836111,25,11,9,20,0.8,1,1,25,1,0,DY,R,Yes,0.15528,483,1
378,QMJHL,10325/martin-grenier,D,2001,20.869444,54,14,35,49,0.907407,4,4,242,0,1,DY+2,L,Yes,0.055555999999999994,18,1
379,OHL,10333/anthony-aquino,F,2003,21.122222,14,10,9,19,1.357143,1,0,14,1,0,DY+3,R,Yes,0.0,0,0
410,WHL,10350/mike-card,D,2006,20.575,64,12,43,55,0.859375,4,4,269,0,1,DY+2,R,Yes,0.0,4,1
413,OHL,103517/daniil-zharkov,F,2013,19.608333,59,25,18,43,0.7288140000000001,3,3,145,0,1,DY+1,L,Yes,0.0,0,0
417,WHL,10352/eric-fehr,F,2005,20.022222,71,59,52,111,1.56338,4,4,275,0,1,DY+2,R,Yes,0.338957,652,1
420,WHL,103529/adam-tambellini,F,2015,20.872222,71,47,39,86,1.211268,2,2,102,0,0,DY+2,L,Yes,0.0,0,0
423,OHL,10353/nathan-mciver,D,2005,20.691667000000002,67,4,22,26,0.38806,3,3,192,0,1,DY+2,L,Yes,0.027777999999999997,36,1
434,OHL,10366/kyle-quincey,D,2005,20.091667,59,15,31,46,0.7796609999999999,3,3,189,0,1,DY+2,L,Yes,0.269625,586,1
441,WHL,103707/coda-gordon,F,2015,21.113889,62,25,36,61,0.9838709999999999,4,4,257,0,1,DY+3,L,Yes,0.0,0,0
447,USHL,10372/joe-pavelski,F,2004,20.177778,54,21,31,52,0.9629629999999999,2,2,114,0,0,DY+2,R,Yes,0.790239,963,1
451,QMJHL,103763/ryan-graves,D,2015,20.316667000000002,50,15,24,39,0.78,4,4,245,0,1,DY+2,L,Yes,0.19230799999999998,26,1
