LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,100056/tye-hand,D,2013,18.252778,31,0,2,2,0.06,1,1,31,1,0,DY,L,No,0.0,0,0
OHL,100141/sean-thompson,F,2004,20.625,38,6,5,11,0.28947399999999995,3,3,137,0,1,DY+2,L,No,0.0,0,0
USHL,100151/stanislav-dzakhov,F,2013,20.497222,22,3,3,6,0.272727,2,2,66,0,0,DY+2,R,No,0.0,0,0
QMJHL,100165/owen-bennington,F,2015,20.444444,66,2,2,4,0.06,2,2,125,0,0,DY+2,R,No,0.0,0,0
QMJHL,100224/tomas-pavelka,D,2013,20.294444,56,8,31,39,0.696429,2,2,123,0,0,DY+2,L,No,0.0,0,0
QMJHL,100294/alexandre-sansregret,F,2011,17.822222,21,0,1,1,0.05,1,1,21,1,0,DY-1,L,No,0.0,0,0
WHL,100304/carson-stadnyk,F,2016,21.605556,71,21,28,49,0.690141,4,4,284,0,1,DY+3,L,No,0.0,0,0
OHL,100323/richard-mraz,F,2013,20.572222,8,1,0,1,0.13,1,0,8,1,0,DY+2,R,No,0.0,0,0
USHL,100430/lukas-buchta,D,2015,20.777778,59,8,12,20,0.338983,2,1,78,0,0,DY+2,R,No,0.0,0,0
WHL,100457/michal-plutnar,D,2014,20.566667000000002,51,3,9,12,0.235294,3,3,182,0,1,DY+2,R,No,0.0,0,0
WHL,100459/juraj-bezuch,F,2012,18.736110999999998,67,8,13,21,0.313433,1,1,67,1,0,DY,L,No,0.0,0,0
USHL,100462/jiri-fronk,F,2015,21.605556,60,29,21,50,0.833333,1,1,60,1,0,DY+3,R,No,0.0,0,0
OHL,100466/patrik-machac,F,2013,19.394444,68,12,28,40,0.5882350000000001,2,2,129,0,0,DY+1,L,No,0.0,0,0
USHL,100468/charlie-pelnik,D,2013,18.333333,24,0,1,1,0.041667,1,1,24,1,0,DY,L,No,0.0,0,0
WHL,100478/dominik-volek,F,2014,20.675,55,20,16,36,0.6545449999999999,3,3,157,0,1,DY+2,L,No,0.0,0,0
WHL,100577/richard-nejezchleb,F,2015,21.369444,49,20,31,51,1.040816,3,3,150,0,1,DY+3,L,Yes,0.0,0,0
QMJHL,100592/jean-philippe-roy-vallieres,F,2007,19.833333,7,1,3,4,0.57,2,0,36,0,0,DY+1,L,No,0.0,0,0
QMJHL,100611/alex-gagnon,F,2011,17.897222,4,1,1,2,0.5,1,0,4,1,0,DY-1,L,No,0.0,0,0
QMJHL,100613/jonathan-delorme,D,2013,20.072222,54,1,6,7,0.13,3,2,97,0,0,DY+2,L,No,0.0,0,0
QMJHL,100620/alex-cote,F,2012,19.983333,43,8,6,14,0.325581,1,1,43,1,0,DY+1,L,No,0.0,0,0
QMJHL,100621/benjamin-lagarde,F,2012,19.308332999999998,6,0,1,1,0.17,1,0,6,1,0,DY+1,L,No,0.0,0,0
QMJHL,100780/connor-gagnon,F,2011,18.927778,24,2,2,4,0.17,1,1,24,1,0,DY,R,No,0.0,0,0
QMJHL,100792/alexis-dufour,F,2011,18.933332999999998,9,2,0,2,0.22,1,0,9,1,0,DY,L,No,0.0,0,0
QMJHL,100793/philippe-archambault,D,2014,21.452778,63,4,4,8,0.13,3,3,178,0,1,DY+3,L,No,0.0,0,0
WHL,10080/hampus-gustafsson,F,2011,20.397222,70,10,33,43,0.614286,2,2,131,0,0,DY+2,L,No,0.0,0,0
WHL,100800/ayrton-nikkel,D,2015,20.041667,70,2,9,11,0.157143,4,4,238,0,1,DY+2,L,No,0.0,0,0
QMJHL,100867/jan-kostalek,D,2015,20.577778,57,7,36,43,0.754386,3,3,160,0,1,DY+2,R,Yes,0.0,0,0
QMJHL,100920/felix-antoine-chabot,D,2011,18.666667,1,2,0,2,2.0,1,0,1,1,0,DY,L,No,0.0,0,0
QMJHL,100923/antoine-nadeau,D,2011,18.925,3,0,1,1,0.33,1,0,3,1,0,DY,L,No,0.0,0,0
QMJHL,100928/samuel-gauthier,F,2013,20.386111,34,2,2,4,0.12,1,1,34,1,0,DY+2,L,No,0.0,0,0
QMJHL,101021/anthony-quessy,F,2001,21.355556,65,20,30,50,0.769231,4,4,236,0,1,DY+3,L,No,0.0,0,0
QMJHL,101065/alex-pisarik,D,2014,19.680556,7,0,1,1,0.14,1,0,7,1,0,DY+1,R,No,0.0,0,0
WHL,101099/carson-samoridny,F,2013,19.225,60,10,10,20,0.333333,2,2,93,0,0,DY+1,R,No,0.0,0,0
USHL,101102/adam-brady,F,2016,21.108333,27,9,15,24,0.8888889999999999,1,1,27,1,0,DY+3,L,No,0.0,0,0
USHL,101143/david-nemecek,D,2016,21.211111,60,2,7,9,0.15,3,3,150,0,1,DY+3,L,No,0.0,0,0
WHL,101158/adam-rehak,F,2012,19.969444,16,2,2,4,0.25,1,0,16,1,0,DY+1,L,No,0.0,0,0
QMJHL,101192/kris-hodge,F,2015,19.925,39,0,10,10,0.25640999999999997,3,3,148,0,1,DY+1,L,No,0.0,0,0
QMJHL,101208/andrew-meredith,F,2014,20.330556,1,1,0,1,1.0,3,0,58,0,0,DY+2,L,No,0.0,0,0
QMJHL,101209/julien-lepage,D,2014,20.652778,54,2,9,11,0.203704,4,4,202,0,1,DY+2,L,No,0.0,0,0
OHL,101219/ondrej-kopta,F,2013,18.411111,51,3,8,11,0.21568600000000002,1,1,51,1,0,DY,L,No,0.0,0,0
OHL,101221/dominik-kubalik,F,2014,19.066667000000002,59,18,11,29,0.491525,2,2,126,0,0,DY+1,L,Yes,0.0,0,0
QMJHL,101225/jan-mandat,F,2016,20.825,62,20,44,64,1.032258,3,3,180,0,1,DY+2,L,No,0.0,0,0
OHL,101228/david-sysala,F,2013,18.361110999999998,11,1,0,1,0.09,1,0,11,1,0,DY,L,No,0.0,0,0
WHL,10123/denis-rehak,D,2004,19.336111,25,0,3,3,0.12,1,1,25,1,0,DY+1,L,Yes,0.0,0,0
QMJHL,101252/patrik-zdrahal,F,2014,19.433332999999998,49,13,19,32,0.653061,2,2,113,0,0,DY+1,L,No,0.0,0,0
QMJHL,101414/bryan-main,D,2008,20.613889,66,2,14,16,0.24242399999999997,3,3,195,0,1,DY+2,R,No,0.0,0,0
USHL,101415/mason-jobst,F,2015,21.577778,11,2,5,7,0.636364,5,0,158,0,1,DY+3,L,No,0.0,0,0
QMJHL,101417/kris-macdonald,F,2006,20.652778,62,3,4,7,0.11,2,2,119,0,0,DY+2,L,No,0.0,0,0
QMJHL,101421/jordan-mcinnis,F,2012,19.219444,2,0,2,2,1.0,1,0,2,1,0,DY+1,-,No,0.0,0,0
USHL,101430/nathan-walker,F,2013,19.605556,29,7,20,27,0.931034,1,1,29,1,0,DY+1,L,Yes,0.166667,12,1
QMJHL,1015/johnny-oduya,D,2001,19.955556,68,14,54,68,1.0,1,1,68,1,0,DY+1,L,Yes,0.223529,850,1
USHL,101512/joel-herbert,F,2015,21.225,51,3,8,11,0.21568600000000002,1,1,51,1,0,DY+3,L,No,0.0,0,0
OHL,10157/jordan-staal,F,2006,18.013889000000002,68,28,40,68,1.0,2,2,134,0,0,DY,L,Yes,0.571109,893,1
WHL,101578/josh-connolly,D,2015,20.058332999999998,63,13,41,54,0.857143,3,3,188,0,1,DY+2,R,No,0.0,0,0
OHL,10158/jared-staal,F,2010,20.066667000000002,59,12,37,49,0.830508,4,4,249,0,1,DY+2,R,Yes,0.0,2,1
WHL,101580/macoy-erkamps,D,2016,21.619444,72,13,58,71,0.9861110000000001,5,5,341,0,1,DY+3,R,No,0.0,0,0
