LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
QMJHL,100165/owen-bennington,F,2015,20.444444,66,2,2,4,0.06,2,2,125,0,0,DY+2,R,No,0.0,0,0
QMJHL,100224/tomas-pavelka,D,2013,20.294444,56,8,31,39,0.696429,2,2,123,0,0,DY+2,L,No,0.0,0,0
QMJHL,100294/alexandre-sansregret,F,2011,17.822222,21,0,1,1,0.05,1,1,21,1,0,DY-1,L,No,0.0,0,0
QMJHL,100592/jean-philippe-roy-vallieres,F,2007,19.833333,7,1,3,4,0.57,2,0,36,0,0,DY+1,L,No,0.0,0,0
QMJHL,100611/alex-gagnon,F,2011,17.897222,4,1,1,2,0.5,1,0,4,1,0,DY-1,L,No,0.0,0,0
QMJHL,100613/jonathan-delorme,D,2013,20.072222,54,1,6,7,0.13,3,2,97,0,0,DY+2,L,No,0.0,0,0
QMJHL,100620/alex-cote,F,2012,19.983333,43,8,6,14,0.325581,1,1,43,1,0,DY+1,L,No,0.0,0,0
QMJHL,100621/benjamin-lagarde,F,2012,19.308332999999998,6,0,1,1,0.17,1,0,6,1,0,DY+1,L,No,0.0,0,0
QMJHL,100780/connor-gagnon,F,2011,18.927778,24,2,2,4,0.17,1,1,24,1,0,DY,R,No,0.0,0,0
QMJHL,100792/alexis-dufour,F,2011,18.933332999999998,9,2,0,2,0.22,1,0,9,1,0,DY,L,No,0.0,0,0
QMJHL,100793/philippe-archambault,D,2014,21.452778,63,4,4,8,0.13,3,3,178,0,1,DY+3,L,No,0.0,0,0
QMJHL,100867/jan-kostalek,D,2015,20.577778,57,7,36,43,0.754386,3,3,160,0,1,DY+2,R,Yes,0.0,0,0
QMJHL,100920/felix-antoine-chabot,D,2011,18.666667,1,2,0,2,2.0,1,0,1,1,0,DY,L,No,0.0,0,0
QMJHL,100923/antoine-nadeau,D,2011,18.925,3,0,1,1,0.33,1,0,3,1,0,DY,L,No,0.0,0,0
QMJHL,100928/samuel-gauthier,F,2013,20.386111,34,2,2,4,0.12,1,1,34,1,0,DY+2,L,No,0.0,0,0
QMJHL,101021/anthony-quessy,F,2001,21.355556,65,20,30,50,0.769231,4,4,236,0,1,DY+3,L,No,0.0,0,0
QMJHL,101065/alex-pisarik,D,2014,19.680556,7,0,1,1,0.14,1,0,7,1,0,DY+1,R,No,0.0,0,0
QMJHL,101192/kris-hodge,F,2015,19.925,39,0,10,10,0.25640999999999997,3,3,148,0,1,DY+1,L,No,0.0,0,0
QMJHL,101208/andrew-meredith,F,2014,20.330556,1,1,0,1,1.0,3,0,58,0,0,DY+2,L,No,0.0,0,0
QMJHL,101209/julien-lepage,D,2014,20.652778,54,2,9,11,0.203704,4,4,202,0,1,DY+2,L,No,0.0,0,0
QMJHL,101225/jan-mandat,F,2016,20.825,62,20,44,64,1.032258,3,3,180,0,1,DY+2,L,No,0.0,0,0
QMJHL,101252/patrik-zdrahal,F,2014,19.433332999999998,49,13,19,32,0.653061,2,2,113,0,0,DY+1,L,No,0.0,0,0
QMJHL,101414/bryan-main,D,2008,20.613889,66,2,14,16,0.24242399999999997,3,3,195,0,1,DY+2,R,No,0.0,0,0
QMJHL,101417/kris-macdonald,F,2006,20.652778,62,3,4,7,0.11,2,2,119,0,0,DY+2,L,No,0.0,0,0
QMJHL,101421/jordan-mcinnis,F,2012,19.219444,2,0,2,2,1.0,1,0,2,1,0,DY+1,-,No,0.0,0,0
QMJHL,1015/johnny-oduya,D,2001,19.955556,68,14,54,68,1.0,1,1,68,1,0,DY+1,L,Yes,0.223529,850,1
QMJHL,101652/nicholas-parisella,F,2011,17.877778,3,1,0,1,0.33,1,0,3,1,0,DY-1,R,No,0.0,0,0
QMJHL,102016/sebastien-lucier,F,2002,21.675,37,9,8,17,0.459459,4,4,212,0,1,DY+3,L,No,0.0,0,0
QMJHL,10218/marc-edouard-vlasic,D,2006,19.458333,66,16,57,73,1.106061,3,3,177,0,1,DY+1,L,Yes,0.32228,965,1
QMJHL,10219/tomas-malec,D,2002,20.338889,51,14,32,46,0.901961,2,2,115,0,0,DY+2,L,Yes,0.043477999999999996,46,1
QMJHL,10224/alexandre-burrows,F,2002,21.427778,64,35,35,70,1.09375,2,2,127,0,0,DY+3,L,No,0.0,0,0
QMJHL,10226/bruno-gervais,D,2004,19.95,23,4,6,10,0.434783,3,3,160,0,1,DY+1,R,Yes,0.208134,418,1
QMJHL,10233/aaron-johnson,D,2003,20.375,57,10,51,61,1.070175,4,4,250,0,1,DY+2,L,Yes,0.213058,291,1
QMJHL,10247/keith-yandle,D,2006,20.016667,66,25,59,84,1.272727,1,1,66,1,0,DY+2,L,Yes,0.5821390000000001,907,1
QMJHL,10315/simon-gamache,F,2001,20.7,72,74,110,184,2.555556,3,3,214,0,1,DY+2,L,Yes,0.270833,48,1
QMJHL,10325/martin-grenier,D,2001,20.869444,54,14,35,49,0.907407,4,4,242,0,1,DY+2,L,Yes,0.055555999999999994,18,1
QMJHL,103371/stephen-north,F,2000,19.008333,34,3,2,5,0.15,1,1,34,1,0,DY+1,R,No,0.0,0,0
QMJHL,103377/tyler-whitehead,F,2007,21.536111,70,21,27,48,0.685714,3,3,193,0,1,DY+3,L,No,0.0,0,0
QMJHL,103378/greg-hoffe,D,2005,20.95,10,1,1,2,0.2,4,0,162,0,1,DY+2,L,No,0.0,0,0
QMJHL,103398/dustin-russell,F,2001,21.052778,72,38,38,76,1.055556,3,3,213,0,1,DY+3,R,No,0.0,0,0
QMJHL,103402/derrick-kent,F,2004,21.238889,60,23,28,51,0.85,4,4,251,0,1,DY+3,L,No,0.0,0,0
QMJHL,103406/ryan-penney,F,2006,19.427778,19,1,4,5,0.26,1,0,19,1,0,DY+1,L,No,0.0,0,0
