,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
5,USHL,100151/stanislav-dzakhov,F,2013,20.497222,22,3,3,6,0.272727,2,2,66,0,0,DY+2,R,No,0.0,0,0
17,USHL,100430/lukas-buchta,D,2015,20.777778,59,8,12,20,0.338983,2,1,78,0,0,DY+2,R,No,0.0,0,0
22,USHL,100462/jiri-fronk,F,2015,21.605556,60,29,21,50,0.833333,1,1,60,1,0,DY+3,R,No,0.0,0,0
25,USHL,100468/charlie-pelnik,D,2013,18.333333,24,0,1,1,0.041667,1,1,24,1,0,DY,L,No,0.0,0,0
64,USHL,101102/adam-brady,F,2016,21.108333,27,9,15,24,0.8888889999999999,1,1,27,1,0,DY+3,L,No,0.0,0,0
67,USHL,101143/david-nemecek,D,2016,21.211111,60,2,7,9,0.15,3,3,150,0,1,DY+3,L,No,0.0,0,0
96,USHL,101415/mason-jobst,F,2015,21.577778,11,2,5,7,0.636364,5,0,158,0,1,DY+3,L,No,0.0,0,0
100,USHL,101430/nathan-walker,F,2013,19.605556,29,7,20,27,0.931034,1,1,29,1,0,DY+1,L,Yes,0.166667,12,1
102,USHL,101512/joel-herbert,F,2015,21.225,51,3,8,11,0.21568600000000002,1,1,51,1,0,DY+3,L,No,0.0,0,0
140,USHL,101595/evan-tironese,F,2014,19.119444,56,10,28,38,0.678571,1,1,56,1,0,DY+1,L,No,0.0,0,0
174,USHL,101671/richard-buri,D,2013,19.675,24,0,1,1,0.041667,1,1,24,1,0,DY+1,L,No,0.0,0,0
191,USHL,101957/brandon-hawkins,F,2014,20.388889000000002,54,26,22,48,0.8888889999999999,1,1,54,1,0,DY+2,R,No,0.0,0,0
192,USHL,10196/adam-burish,F,2002,19.691667000000002,61,24,33,57,0.934426,1,1,61,1,0,DY+1,R,Yes,0.15872999999999998,378,1
