LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,100056/tye-hand,D,2013,18.252778,31,0,2,2,0.06,1,1,31,1,0,DY,L,No,0.0,0,0
WHL,100304/carson-stadnyk,F,2016,21.605556,71,21,28,49,0.690141,4,4,284,0,1,DY+3,L,No,0.0,0,0
WHL,100457/michal-plutnar,D,2014,20.566667000000002,51,3,9,12,0.235294,3,3,182,0,1,DY+2,R,No,0.0,0,0
WHL,100459/juraj-bezuch,F,2012,18.736110999999998,67,8,13,21,0.313433,1,1,67,1,0,DY,L,No,0.0,0,0
WHL,100478/dominik-volek,F,2014,20.675,55,20,16,36,0.6545449999999999,3,3,157,0,1,DY+2,L,No,0.0,0,0
WHL,100577/richard-nejezchleb,F,2015,21.369444,49,20,31,51,1.040816,3,3,150,0,1,DY+3,L,Yes,0.0,0,0
WHL,10080/hampus-gustafsson,F,2011,20.397222,70,10,33,43,0.614286,2,2,131,0,0,DY+2,L,No,0.0,0,0
WHL,100800/ayrton-nikkel,D,2015,20.041667,70,2,9,11,0.157143,4,4,238,0,1,DY+2,L,No,0.0,0,0
WHL,101099/carson-samoridny,F,2013,19.225,60,10,10,20,0.333333,2,2,93,0,0,DY+1,R,No,0.0,0,0
WHL,101158/adam-rehak,F,2012,19.969444,16,2,2,4,0.25,1,0,16,1,0,DY+1,L,No,0.0,0,0
WHL,10123/denis-rehak,D,2004,19.336111,25,0,3,3,0.12,1,1,25,1,0,DY+1,L,Yes,0.0,0,0
WHL,101578/josh-connolly,D,2015,20.058332999999998,63,13,41,54,0.857143,3,3,188,0,1,DY+2,R,No,0.0,0,0
WHL,101580/macoy-erkamps,D,2016,21.619444,72,13,58,71,0.9861110000000001,5,5,341,0,1,DY+3,R,No,0.0,0,0
WHL,101581/shea-theodore,D,2015,20.116667,43,13,35,48,1.116279,4,4,253,0,1,DY+2,L,Yes,0.43005200000000005,193,1
WHL,101587/luke-bertolucci,F,2016,21.438889,67,5,12,17,0.253731,4,4,228,0,1,DY+3,L,No,0.0,0,0
WHL,101590/jackson-houck,F,2016,21.619444,56,20,33,53,0.9464290000000001,5,5,312,0,1,DY+3,R,Yes,0.0,0,0
WHL,101592/brandon-potomak,F,2014,19.388889000000002,30,1,1,2,0.07,2,2,100,0,0,DY+1,R,No,0.0,0,0
WHL,101593/carter-popoff,F,2016,21.35,65,12,26,38,0.584615,4,4,272,0,1,DY+3,R,No,0.0,0,0
WHL,101594/cole-sanford,F,2016,21.125,63,41,29,70,1.111111,4,4,260,0,1,DY+3,R,No,0.0,0,0
WHL,101607/kevin-pochuk,D,2014,19.313889,10,0,2,2,0.2,3,0,50,0,0,DY+1,R,No,0.0,0,0
WHL,101616/remi-laurencelle,F,2016,20.944444,69,28,30,58,0.8405799999999999,4,4,260,0,1,DY+2,L,No,0.0,0,0
WHL,101622/geordie-maguire,F,2014,19.411111,35,8,7,15,0.428571,2,2,100,0,0,DY+1,L,No,0.0,0,0
WHL,101624/jonathon-martin,F,2016,21.061111,70,41,32,73,1.042857,5,5,316,0,1,DY+3,R,No,0.0,0,0
WHL,101632/christian-stockl,F,2013,18.411111,62,3,7,10,0.16129000000000002,1,1,62,1,0,DY,R,No,0.0,0,0
WHL,101633/nick-zajac,F,2016,21.466667,72,20,32,52,0.722222,5,5,322,0,1,DY+3,L,No,0.0,0,0
WHL,101642/tanner-faith,D,2016,20.944444,59,3,21,24,0.40678000000000003,3,2,133,0,0,DY+2,R,Yes,0.0,0,0
WHL,101647/brayden-burke,F,2018,21.705556,61,31,82,113,1.852459,4,4,236,0,1,DY+3,L,No,0.0,0,0
WHL,101648/trevor-cox,F,2016,21.091667,56,18,43,61,1.089286,5,5,324,0,1,DY+3,L,No,0.0,0,0
WHL,101863/mikulas-rimmel,F,2013,17.983333,43,3,4,7,0.16,1,1,43,1,0,DY-1,R,No,0.0,0,0
WHL,10197/matt-keith,F,2003,20.427778,56,27,28,55,0.982143,4,4,196,0,1,DY+2,R,Yes,0.185185,27,1
WHL,10200/d.j.-king,F,2004,20.216667,63,13,17,30,0.47618999999999995,3,3,183,0,1,DY+2,L,Yes,0.09322000000000001,118,1
WHL,10207/riley-cote,F,2002,20.497222,67,28,23,51,0.7611939999999999,4,4,235,0,1,DY+2,L,No,0.0,0,0
WHL,102077/travis-churchman,F,2000,20.580556,63,10,7,17,0.269841,3,3,180,0,1,DY+2,L,No,0.0,0,0
WHL,102087/david-mcdonald,F,2004,21.344444,56,11,27,38,0.678571,5,5,287,0,1,DY+3,L,No,0.0,0,0
WHL,102088/jordan-mcgillivray,F,2006,21.613889,16,2,1,3,0.19,4,0,209,0,1,DY+3,L,No,0.0,0,0
WHL,102226/jackson-playfair,F,2015,21.269444,74,12,11,23,0.310811,3,3,193,0,1,DY+3,R,No,0.0,0,0
WHL,102246/austin-ferguson,F,2012,17.677778,56,1,3,4,0.07,1,1,56,1,0,DY-1,R,No,0.0,0,0
WHL,102274/brett-roulston,F,2014,19.916667,48,1,7,8,0.17,2,2,105,0,0,DY+1,R,No,0.0,0,0
WHL,102283/joe-carvalho,D,2016,20.858333,72,2,29,31,0.43055600000000005,4,4,239,0,1,DY+2,L,No,0.0,0,0
WHL,102294/ryan-coghlan,D,2015,19.875,24,2,4,6,0.25,2,2,81,0,0,DY+1,R,No,0.0,0,0
WHL,102301/austin-adam,D,2015,20.522222,55,3,10,13,0.236364,4,4,182,0,1,DY+2,R,No,0.0,0,0
WHL,10235/gilbert-brule,F,2006,19.705556,27,23,15,38,1.407407,3,3,164,0,1,DY+1,R,Yes,0.317726,299,1
WHL,102378/ben-betker,D,2015,20.975,64,6,25,31,0.484375,3,3,200,0,1,DY+2,L,Yes,0.0,0,0
WHL,102383/jason-fram,D,2016,21.394444,55,12,34,46,0.836364,5,5,308,0,1,DY+3,R,No,0.0,0,0
WHL,102384/arvin-atwal,D,2016,20.802778,71,11,39,50,0.704225,4,4,220,0,1,DY+2,R,No,0.0,0,0
WHL,102456/taylor-green,D,2015,20.677778,10,1,2,3,0.3,4,0,143,0,0,DY+2,L,No,0.0,0,0
WHL,10256/mikhail-fisenko,F,2011,21.288889,64,8,32,40,0.625,3,3,179,0,1,DY+3,L,No,0.0,0,0
WHL,10259/ben-ondrus,F,2003,21.222222,67,33,36,69,1.029851,5,5,316,0,1,DY+3,R,No,0.0,0,0
WHL,10261/nate-thompson,F,2005,20.944444,58,19,15,34,0.5862069999999999,4,4,253,0,1,DY+2,L,Yes,0.202296,697,1
WHL,102746/curtis-austring,F,2003,20.944444,66,7,22,29,0.43939399999999995,4,4,241,0,1,DY+2,L,No,0.0,0,0
WHL,102754/kyle-pess,F,2007,21.491667,7,3,0,3,0.43,5,0,228,0,1,DY+3,L,No,0.0,0,0
WHL,102975/david-soltes,F,2015,20.611110999999998,44,13,15,28,0.636364,2,1,59,0,0,DY+2,R,No,0.0,0,0
WHL,10298/david-bararuk,F,2003,20.302778,66,29,64,93,1.409091,4,4,212,0,1,DY+2,L,Yes,0.0,0,0
WHL,103011/derek-werenka,F,2007,21.530556,39,9,21,30,0.769231,4,4,159,0,1,DY+3,L,No,0.0,0,0
WHL,103012/joel-henitiuk,F,2005,20.405556,65,12,17,29,0.446154,2,2,120,0,0,DY+2,L,No,0.0,0,0
WHL,10303/triston-grant,F,2005,21.619444,70,20,12,32,0.457143,5,5,291,0,1,DY+3,L,Yes,0.090909,11,1
WHL,103084/jeff-topilko,F,2007,21.275,66,21,33,54,0.818182,5,5,272,0,1,DY+3,R,No,0.0,0,0
WHL,10320/steven-goertzen,F,2004,20.302778,69,15,18,33,0.478261,3,3,206,0,1,DY+2,R,Yes,0.058824,68,1
WHL,103409/jarrett-fontaine,F,2013,18.333333,68,6,9,15,0.220588,2,2,132,0,0,DY,L,No,0.0,0,0
WHL,103411/jordan-tkatch,F,2016,21.308332999999998,68,24,41,65,0.955882,5,5,336,0,1,DY+3,L,No,0.0,0,0
WHL,10350/mike-card,D,2006,20.575,64,12,43,55,0.859375,4,4,269,0,1,DY+2,R,Yes,0.0,4,1
WHL,10352/eric-fehr,F,2005,20.022222,71,59,52,111,1.56338,4,4,275,0,1,DY+2,R,Yes,0.338957,652,1
WHL,103529/adam-tambellini,F,2015,20.872222,71,47,39,86,1.211268,2,2,102,0,0,DY+2,L,Yes,0.0,0,0
WHL,103534/connor-honey,F,2014,20.455556,7,2,4,6,0.86,3,0,127,0,0,DY+2,R,No,0.0,0,0
WHL,10363/mitch-love,D,2005,21.25,59,9,20,29,0.491525,5,5,318,0,1,DY+3,L,No,0.0,0,0
WHL,103707/coda-gordon,F,2015,21.113889,62,25,36,61,0.9838709999999999,4,4,257,0,1,DY+3,L,Yes,0.0,0,0
WHL,103717/joel-hamilton,F,2015,21.016667,67,14,25,39,0.58209,4,4,251,0,1,DY+3,L,No,0.0,0,0
WHL,10379/jacob-berglund,F,2011,19.827778,61,18,15,33,0.540984,2,2,132,0,0,DY+1,L,No,0.0,0,0
WHL,103838/edson-harlacher,D,2014,18.647222,71,0,9,9,0.13,1,1,71,1,0,DY,L,No,0.0,0,0
