LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DOB,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP
WHL,100056/tye-hand,D,2013,18.252778,31,0,2,2,0.060000,1,1,31,1,0,1995-06-14,DY,L,No,0.000000,0
OHL,100141/sean-thompson,F,2002,18.625000,38,0,4,4,0.110000,1,1,38,0,1,1984-01-31,DY,L,No,0.000000,0
OHL,100141/sean-thompson,F,2003,19.625000,61,6,5,11,0.180328,2,2,99,0,1,1984-01-31,DY+1,L,No,0.000000,0
OHL,100141/sean-thompson,F,2004,20.625000,38,6,5,11,0.289474,3,3,137,0,1,1984-01-31,DY+2,L,No,0.000000,0
USHL,100151/stanislav-dzakhov,F,2012,19.497222,44,9,5,14,0.318182,1,1,44,0,0,1993-03-16,DY+1,R,No,0.000000,0
USHL,100151/stanislav-dzakhov,F,2013,20.497222,22,3,3,6,0.272727,2,2,66,0,0,1993-03-16,DY+2,R,No,0.000000,0
QMJHL,100165/owen-bennington,F,2014,19.444444,59,0,4,4,0.070000,1,1,59,0,0,1995-04-05,DY+1,R,No,0.000000,0
QMJHL,100165/owen-bennington,F,2015,20.444444,66,2,2,4,0.060000,2,2,125,0,0,1995-04-05,DY+2,R,No,0.000000,0
QMJHL,100224/tomas-pavelka,D,2012,19.294444,67,6,18,24,0.358209,1,1,67,0,0,1993-05-29,DY+1,L,No,0.000000,0
QMJHL,100224/tomas-pavelka,D,2013,20.294444,56,8,31,39,0.696429,2,2,123,0,0,1993-05-29,DY+2,L,No,0.000000,0
QMJHL,100294/alexandre-sansregret,F,2011,17.822222,21,0,1,1,0.050000,1,1,21,1,0,1993-11-19,DY-1,L,No,0.000000,0
WHL,100304/carson-stadnyk,F,2013,18.605556,70,8,5,13,0.185714,1,1,70,0,1,1995-02-07,DY,L,No,0.000000,0
WHL,100304/carson-stadnyk,F,2014,19.605556,72,23,15,38,0.527778,2,2,142,0,1,1995-02-07,DY+1,L,No,0.000000,0
WHL,100304/carson-stadnyk,F,2015,20.605556,71,27,42,69,0.971831,3,3,213,0,1,1995-02-07,DY+2,L,No,0.000000,0
WHL,100304/carson-stadnyk,F,2016,21.605556,71,21,28,49,0.690141,4,4,284,0,1,1995-02-07,DY+3,L,No,0.000000,0
OHL,100323/richard-mraz,F,2013,20.572222,8,1,0,1,0.130000,1,0,8,1,0,1993-02-19,DY+2,R,No,0.000000,0
USHL,100430/lukas-buchta,D,2013,18.777778,19,0,1,1,0.052632,1,0,19,0,0,1994-12-05,DY,R,No,0.000000,0
USHL,100430/lukas-buchta,D,2015,20.777778,59,8,12,20,0.338983,2,1,78,0,0,1994-12-05,DY+2,R,No,0.000000,0
WHL,100457/michal-plutnar,D,2012,18.566667,62,4,9,13,0.209677,1,1,62,0,1,1994-02-21,DY,R,No,0.000000,0
WHL,100457/michal-plutnar,D,2013,19.566667,69,7,21,28,0.405797,2,2,131,0,1,1994-02-21,DY+1,R,No,0.000000,0
WHL,100457/michal-plutnar,D,2014,20.566667,51,3,9,12,0.235294,3,3,182,0,1,1994-02-21,DY+2,R,No,0.000000,0
WHL,100459/juraj-bezuch,F,2012,18.736111,67,8,13,21,0.313433,1,1,67,1,0,1993-12-20,DY,L,No,0.000000,0
USHL,100462/jiri-fronk,F,2015,21.605556,60,29,21,50,0.833333,1,1,60,1,0,1994-02-07,DY+3,R,No,0.000000,0
OHL,100466/patrik-machac,F,2012,18.394444,61,14,18,32,0.524590,1,1,61,0,0,1994-04-23,DY,L,No,0.000000,0
OHL,100466/patrik-machac,F,2013,19.394444,68,12,28,40,0.588235,2,2,129,0,0,1994-04-23,DY+1,L,No,0.000000,0
USHL,100468/charlie-pelnik,D,2013,18.333333,24,0,1,1,0.041667,1,1,24,1,0,1995-05-15,DY,L,No,0.000000,0
WHL,100478/dominik-volek,F,2012,18.675000,70,14,18,32,0.457143,1,1,70,0,1,1994-01-12,DY,L,No,0.000000,0
WHL,100478/dominik-volek,F,2013,19.675000,32,9,8,17,0.531250,2,2,102,0,1,1994-01-12,DY+1,L,No,0.000000,0
WHL,100478/dominik-volek,F,2014,20.675000,55,20,16,36,0.654545,3,3,157,0,1,1994-01-12,DY+2,L,No,0.000000,0
WHL,100577/richard-nejezchleb,F,2013,19.369444,35,11,13,24,0.685714,1,1,35,0,1,1994-05-02,DY+1,L,Yes,0.000000,0
WHL,100577/richard-nejezchleb,F,2014,20.369444,66,32,25,57,0.863636,2,2,101,0,1,1994-05-02,DY+2,L,Yes,0.000000,0
WHL,100577/richard-nejezchleb,F,2015,21.369444,49,20,31,51,1.040816,3,3,150,0,1,1994-05-02,DY+3,L,Yes,0.000000,0
QMJHL,100592/jean-philippe-roy-vallieres,F,2006,18.833333,29,7,5,12,0.413793,1,1,29,0,0,1987-11-15,DY,L,No,0.000000,0
QMJHL,100592/jean-philippe-roy-vallieres,F,2007,19.833333,7,1,3,4,0.570000,2,0,36,0,0,1987-11-15,DY+1,L,No,0.000000,0
QMJHL,100611/alex-gagnon,F,2011,17.897222,4,1,1,2,0.500000,1,0,4,1,0,1993-10-22,DY-1,L,No,0.000000,0
QMJHL,100613/jonathan-delorme,D,2011,18.072222,14,0,1,1,0.070000,1,0,14,0,0,1993-08-19,DY,L,No,0.000000,0
QMJHL,100613/jonathan-delorme,D,2012,19.072222,29,2,6,8,0.280000,2,1,43,0,0,1993-08-19,DY+1,L,No,0.000000,0
QMJHL,100613/jonathan-delorme,D,2013,20.072222,54,1,6,7,0.130000,3,2,97,0,0,1993-08-19,DY+2,L,No,0.000000,0
QMJHL,100620/alex-cote,F,2012,19.983333,43,8,6,14,0.325581,1,1,43,1,0,1992-09-21,DY+1,L,No,0.000000,0
QMJHL,100621/benjamin-lagarde,F,2012,19.308333,6,0,1,1,0.170000,1,0,6,1,0,1993-05-24,DY+1,L,No,0.000000,0
QMJHL,100780/connor-gagnon,F,2011,18.927778,24,2,2,4,0.170000,1,1,24,1,0,1992-10-11,DY,R,No,0.000000,0
QMJHL,100792/alexis-dufour,F,2011,18.933333,9,2,0,2,0.220000,1,0,9,1,0,1992-10-09,DY,L,No,0.000000,0
QMJHL,100793/philippe-archambault,D,2012,19.452778,61,0,13,13,0.213115,1,1,61,0,1,1993-04-02,DY+1,L,No,0.000000,0
QMJHL,100793/philippe-archambault,D,2013,20.452778,54,0,13,13,0.240741,2,2,115,0,1,1993-04-02,DY+2,L,No,0.000000,0
QMJHL,100793/philippe-archambault,D,2014,21.452778,63,4,4,8,0.130000,3,3,178,0,1,1993-04-02,DY+3,L,No,0.000000,0
WHL,10080/hampus-gustafsson,F,2010,19.397222,61,14,19,33,0.540984,1,1,61,0,0,1991-04-22,DY+1,L,No,0.000000,0
WHL,10080/hampus-gustafsson,F,2011,20.397222,70,10,33,43,0.614286,2,2,131,0,0,1991-04-22,DY+2,L,No,0.000000,0
WHL,100800/ayrton-nikkel,D,2012,17.041667,59,3,7,10,0.169492,1,1,59,0,1,1995-08-30,DY-1,L,No,0.000000,0
WHL,100800/ayrton-nikkel,D,2013,18.041667,49,0,9,9,0.180000,2,2,108,0,1,1995-08-30,DY,L,No,0.000000,0
WHL,100800/ayrton-nikkel,D,2014,19.041667,60,5,10,15,0.250000,3,3,168,0,1,1995-08-30,DY+1,L,No,0.000000,0
WHL,100800/ayrton-nikkel,D,2015,20.041667,70,2,9,11,0.157143,4,4,238,0,1,1995-08-30,DY+2,L,No,0.000000,0
QMJHL,100867/jan-kostalek,D,2013,18.577778,48,5,13,18,0.375000,1,1,48,0,1,1995-02-17,DY,R,Yes,0.000000,0
QMJHL,100867/jan-kostalek,D,2014,19.577778,55,5,22,27,0.490909,2,2,103,0,1,1995-02-17,DY+1,R,Yes,0.000000,0
QMJHL,100867/jan-kostalek,D,2015,20.577778,57,7,36,43,0.754386,3,3,160,0,1,1995-02-17,DY+2,R,Yes,0.000000,0
QMJHL,100920/felix-antoine-chabot,D,2011,18.666667,1,2,0,2,2.000000,1,0,1,1,0,1993-01-15,DY,L,No,0.000000,0
QMJHL,100923/antoine-nadeau,D,2011,18.925000,3,0,1,1,0.330000,1,0,3,1,0,1992-10-12,DY,L,No,0.000000,0
QMJHL,100928/samuel-gauthier,F,2013,20.386111,34,2,2,4,0.120000,1,1,34,1,0,1993-04-26,DY+2,L,No,0.000000,0
QMJHL,101021/anthony-quessy,F,1998,18.355556,40,2,3,5,0.130000,1,1,40,0,1,1980-05-07,DY,L,No,0.000000,0
QMJHL,101021/anthony-quessy,F,1999,19.355556,62,18,13,31,0.500000,2,2,102,0,1,1980-05-07,DY+1,L,No,0.000000,0
QMJHL,101021/anthony-quessy,F,2000,20.355556,69,16,27,43,0.623188,3,3,171,0,1,1980-05-07,DY+2,L,No,0.000000,0
QMJHL,101021/anthony-quessy,F,2001,21.355556,65,20,30,50,0.769231,4,4,236,0,1,1980-05-07,DY+3,L,No,0.000000,0
QMJHL,101065/alex-pisarik,D,2014,19.680556,7,0,1,1,0.140000,1,0,7,1,0,1995-01-10,DY+1,R,No,0.000000,0
WHL,101099/carson-samoridny,F,2012,18.225000,33,0,2,2,0.060000,1,1,33,0,0,1994-06-24,DY,R,No,0.000000,0
WHL,101099/carson-samoridny,F,2013,19.225000,60,10,10,20,0.333333,2,2,93,0,0,1994-06-24,DY+1,R,No,0.000000,0
USHL,101102/adam-brady,F,2016,21.108333,27,9,15,24,0.888889,1,1,27,1,0,1995-08-06,DY+3,L,No,0.000000,0
